id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
70,23,Female,4,7,suicide1,against,0,Harm,0
154,28,Male,4,2,suicide1,against,0,Harm,1
208,30,Female,5,5,suicide1,against,0,Harm,0
126,27,Female,8,2,xmarsex,against,0,Harm,0
127,23,Female,3,6,xmarsex,against,0,Harm,0
9,37,Female,7,2,xmarsex,against,0,Harm,1
159,21,Female,7,6,xmarsex,against,0,Harm,0
105,26,Male,7,8,xmarsex,against,0,Harm,0
186,25,Male,7,5,xmarsex,against,0,Harm,0
148,24,Male,4,6,xmarsex,against,0,Harm,0
83,36,Male,7,8,colhomo,against,0,Harm,0
182,26,Male,7,2,colhomo,against,0,Harm,0
25,22,Female,3,4,colhomo,against,0,Harm,0
107,29,Male,7,6,colhomo,against,0,Harm,0
127,23,Female,3,6,colhomo,against,0,Harm,0
23,29,Female,3,4,colhomo,against,0,Harm,0
75,31,Female,7,3,colhomo,against,0,Harm,0
8,27,Female,7,4,colhomo,against,0,Harm,0
82,26,Female,4,4,colhomo,against,0,Harm,0
64,60,Female,8,5,colhomo,against,0,Harm,0
122,38,Male,7,8,colhomo,against,0,Harm,0
95,22,Female,2,1,colhomo,against,0,Harm,0
36,23,Female,3,5,colhomo,against,0,Harm,0
33,23,Female,4,6,colhomo,against,0,Harm,0
87,21,Female,3,7,colhomo,against,0,Harm,0
217,23,Female,4,3,colhomo,against,0,Harm,0
86,78,Male,8,6,colhomo,against,0,Harm,0
216,24,Female,8,8,colhomo,against,0,Harm,0
5,18,Male,3,7,colhomo,against,0,Harm,0
83,36,Male,7,8,grass,against,0,Harm,0
164,33,Male,8,6,grass,against,0,Harm,0
25,22,Female,3,4,grass,against,0,Harm,0
121,40,Male,6,6,grass,against,0,Harm,0
61,20,Male,7,8,grass,against,0,Harm,0
67,25,Female,3,5,grass,against,0,Harm,0
40,27,Female,5,6,grass,against,0,Harm,0
82,26,Female,4,4,grass,against,0,Harm,0
117,25,Female,7,6,grass,against,0,Harm,0
186,25,Male,7,5,grass,against,0,Harm,0
133,23,Female,3,4,grass,against,0,Harm,0
217,23,Female,4,3,grass,against,0,Harm,0
174,23,Female,3,5,spkmil,against,0,Harm,0
12,20,Female,3,5,spkmil,against,0,Harm,0
90,25,Male,7,5,spkmil,against,0,Harm,1
195,21,Female,3,2,spkmil,against,0,Harm,0
219,31,Male,8,4,spkmil,against,0,Harm,0
149,24,Male,3,7,libmil,against,0,Harm,0
68,20,Male,4,8,libmil,against,0,Harm,0
206,26,Male,4,2,obeylaw,against,0,Harm,0
82,26,Female,4,4,obeylaw,against,0,Harm,0
153,28,Female,7,6,marlegit,against,0,Harm,0
18,24,Female,4,5,twoincs1,against,0,Harm,0
65,26,Male,3,5,twoincs1,against,0,Harm,0
125,28,Do not wish to disclose,8,7,twoincs1,against,0,Harm,0
182,26,Male,7,2,twoincs1,against,0,Harm,0
164,33,Male,8,6,twoincs1,against,0,Harm,0
107,29,Male,7,6,twoincs1,against,0,Harm,0
19,43,Male,7,6,twoincs1,against,0,Harm,0
15,22,Male,3,4,twoincs1,against,0,Harm,0
159,21,Female,7,6,twoincs1,against,0,Harm,0
156,33,Female,8,3,twoincs1,against,0,Harm,1
57,35,Female,10,0,twoincs1,against,0,Harm,0
152,27,Female,7,7,twoincs1,against,0,Harm,0
63,30,Male,4,4,twoincs1,against,0,Harm,1
135,26,Female,7,2,twoincs1,against,0,Harm,0
120,27,Female,7,5,twoincs1,against,0,Harm,1
168,20,Female,7,5,twoincs1,against,0,Harm,1
169,18,Male,2,0,twoincs1,against,0,Harm,0
87,21,Female,3,7,twoincs1,against,0,Harm,0
217,23,Female,4,3,twoincs1,against,0,Harm,0
27,25,Male,3,5,twoincs1,against,0,Harm,0
22,42,Female,10,5,abpoorw,against,0,Harm,0
93,26,Male,3,5,ifwrong,against,0,Harm,0
174,23,Female,3,5,wrldgovt,against,0,Harm,0
4,18,Male,3,5,wrldgovt,against,0,Harm,0
22,42,Female,10,5,wrldgovt,against,0,Harm,0
90,25,Male,7,5,wrldgovt,against,0,Harm,0
172,31,Female,5,7,wrldgovt,against,0,Harm,0
7,30,Female,7,4,amownway,against,0,Harm,0
24,34,Male,7,8,amownway,against,0,Harm,0
193,21,Male,3,5,forland,against,0,Harm,0
79,25,Male,7,6,amtv,against,0,Harm,1
77,18,Male,3,5,mincult,against,0,Harm,0
121,40,Male,6,6,mincult,against,0,Harm,0
67,25,Female,3,5,mincult,against,0,Harm,0
75,31,Female,7,3,mincult,against,0,Harm,0
202,34,Male,8,1,mincult,against,0,Harm,1
122,38,Male,7,8,mincult,against,0,Harm,0
196,37,Male,7,8,mincult,against,0,Harm,0
217,23,Female,4,3,mincult,against,0,Harm,0
32,21,Male,3,3,mincult,against,0,Harm,0
80,18,Male,3,5,mincult,against,0,Harm,0
174,23,Female,3,5,abany,against,0,Harm,1
67,25,Female,3,5,abany,against,0,Harm,1
58,25,Male,4,3,abany,against,0,Harm,1
79,25,Male,7,6,abany,against,0,Harm,0
217,23,Female,4,3,abany,against,0,Harm,0
142,25,Female,7,3,absingle,against,0,Harm,0
135,26,Female,7,2,absingle,against,0,Harm,0
27,25,Male,3,5,absingle,against,0,Harm,1
56,30,Female,7,9,abpoor,against,0,Harm,0
132,26,Female,7,7,abpoor,against,0,Harm,0
110,28,Female,3,6,abpoor,against,0,Harm,0
33,23,Female,4,6,abpoor,against,0,Harm,1
135,26,Female,7,2,abpoor,against,0,Harm,0
200,28,Female,7,7,abdefect,against,0,Harm,1
142,25,Female,7,3,abdefect,against,0,Harm,0
30,24,Female,7,7,abdefect,against,0,Harm,0
